data_datetime;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6
2023-02-22 00:43:00+00:00;0.0375;24.95625;1509.12866;102.3;28.6358757;240.6405049
2023-02-22 00:53:00+00:00;0.0375;24.99522;1523.01416;102.3;28.69;239.4372243
2023-02-22 01:03:00+00:00;0.0375;24.98125;1604.00854;102.360168;28.6739845;243.2589636
2023-02-22 01:13:00+00:00;0.0375;24.9674473;1546.42725;102.4;28.7639828;239.7310245
2023-02-22 01:23:00+00:00;0.04244763;24.9361973;1625.56946;102.4;28.82601;242.6827066
2023-02-22 01:33:00+00:00;0.0375;24.95;1519.79944;102.4;28.8579826;239.0865105
2023-02-22 01:43:00+00:00;0.03875563;24.9637547;1583.08276;102.4;28.9560089;237.5882502
2023-02-22 01:53:00+00:00;0.038800705;24.95625;1624.968;102.4;29.000021;244.4405666
2023-02-22 02:03:00+00:00;0.04375;24.95625;1589.47864;102.4;28.99795;241.8560937
2023-02-22 02:13:00+00:00;0.0375;24.9950581;1560.76172;102.4;28.9919147;241.6372963
2023-02-22 02:23:00+00:00;0.04375;25.111187;1560.16675;102.4;29.033968;239.6464482
2023-02-22 02:33:00+00:00;0.0375;25.2125;1538.42126;102.360176;29.0461063;240.8919993
2023-02-22 02:43:00+00:00;0.038776748;25.3161964;1535.43457;102.3;29.0340443;241.1638183
2023-02-22 02:53:00+00:00;0.0375;25.375;1633.85535;102.339821;29.0539818;239.1890969
2023-02-22 03:03:00+00:00;0.042470615;25.40128;1552.04724;102.4;29.11;240.3846509
2023-02-22 03:13:00+00:00;0.0375;25.3774319;1531.837;102.3;29.2059383;239.2174992
2023-02-22 03:23:00+00:00;0.038743224;25.3324928;1564.2793;102.4;29.32015;237.3197653
2023-02-22 03:33:00+00:00;0.04375;25.2700634;1514.37158;102.360916;29.36;240.1381748
2023-02-22 03:43:00+00:00;0.0375;25.1625;1555.5282;102.3;29.46008;244.6376257
2023-02-22 03:53:00+00:00;0.038779296;25.08878;1544.678;102.3;29.5000629;244.3780491
2023-02-22 04:03:00+00:00;0.0375;25.0375;1560.49854;102.3;29.5220242;242.778583
2023-02-22 04:13:00+00:00;0.0375;24.9887924;1576.98193;102.3;29.429945;238.1920433
